gamma,chi2_sn,chi2_bao
2.63,1403.344459549507,23.017983710768394
2.64,1403.3335170957243,22.166262720703216
2.65,1403.3237077015056,21.343468228994976
2.66,1403.315032856184,20.549553422262477
2.67,1403.307494030908,19.784470783568533
2.68,1403.3010926785896,19.04817209775208
2.69,1403.2958302338893,18.340608456784324
2.7,1403.2917081131554,17.661730265128583
2.71,1403.2887277144052,17.01148724511712
2.72,1403.2868904172863,16.389828442336746
2.73,1403.2861975830438,15.796702231028485
2.74,1403.2866505544864,15.232056319493367
2.75,1403.2882506559554,14.695837755510949
2.76,1403.290999193293,14.187992931764633
2.77,1403.294897453824,13.708467591276776
2.78,1403.2999467063023,13.257206832850468
2.79,1403.306148200914,12.83415511651883
2.8,1403.3135031692238,12.439256268999946
2.81,1403.3220128241676,12.072453489158008
2.82,1403.3316783600167,11.733689353470947
2.83,1403.342500952359,11.422905821500155
2.84,1403.354481758075,11.140044241366365
2.85,1403.367621915314,10.885045355226676
2.86,1403.3819225434752,10.657849304758049
2.87,1403.3973847431837,10.458395636638155
2.88,1403.4140095962798,10.286623308032247
2.89,1403.4317981657837,10.142470692078248
2.9,1403.4507514958966,10.025875583374159
2.91,1403.470870611973,9.936775203464858
2.92,1403.492156520503,9.875106206326022
2.93,1403.5146102091126,9.840804683851895
2.94,1403.538232646525,9.833806171336434
2.95,1403.5630247825682,9.854045652954923
2.96,1403.5889875481594,9.901457567240953
2.97,1403.616121855283,9.975975812563858
2.98,1403.6444285969874,10.07753375259632
2.99,1403.6739086473783,10.206064221783759
3.0,1403.7045628616029,10.36149953080476
3.01,1403.7363920758473,10.543771472027785
3.02,1403.769397107325,10.752811324961144
3.03,1403.8035787542763,10.98854986169797
3.04,1403.8389377959547,11.250917352353731
3.05,1403.8754749926368,11.539843570495325
3.06,1403.9131910855986,11.85525779856437
3.07,1403.9520867971298,12.19708883329018
3.08,1403.9921628305228,12.56526499109559
3.09,1404.0334198700766,12.959714113492552
3.1,1404.0758585810909,13.38036357247049
3.11,1404.1194796098725,13.82714027586886
3.12,1404.1642835837338,14.299970672746234
3.13,1404.2102711109924,14.798780758734857
3.14,1404.2574427809845,15.323496081382263
3.15,1404.30579916405,15.874041745485595
3.16,1404.3553408115577,16.450342418407438
3.17,1404.4060682558961,17.05232233538736
3.18,1404.4579820104914,17.679905304832914
3.19,1404.5110825698007,18.333014713600804
3.2,1404.5653704093324,19.0115735322619
3.21,1404.620845985648,19.71550432035876
3.22,1404.6775097363734,20.44472923163824
3.23,1404.7353620802085,21.199170019278146
3.24,1404.7944034169445,21.978748041092352
3.25,1404.8546341274598,22.783384264725882
3.26,1404.9160545737532,23.61299927283055
3.27,1404.9786650989363,24.467513268223037
3.28,1405.0424660272722,25.346846079031756
3.29,1405.1074576641622,26.25091716381982
3.3,1405.1736402961842,27.179645616696554
3.31,1405.2410141910955,28.132950172409323
3.32,1405.3095795978575,29.110749211415683
3.33,1405.3793367466546,30.11296076493911
3.34,1405.4502858488981,31.13950252000814
3.35,1405.5224270972644,32.1902918244742
3.36,1405.5957606657066,33.265245692008975
3.37,1405.670286709472,34.36428080708402
3.38,1405.746005365129,35.48731352993693
3.39,1405.8229167505876,36.63425990150503
3.4,1405.901020965122,37.805035648349396
3.41,1405.9803180893905,38.999556187553885
3.42,1406.0608081854684,40.21773663160957
3.43,1406.1424912968655,41.459491793262146
3.44,1406.2253674485535,42.7247361903639
3.45,1406.309436646991,44.01338405068023
3.46,1406.3946988801588,45.325349316687166
3.47,1406.4811541175723,46.66054565034863
3.48,1406.5688023103262,48.018886437863294
3.49,1406.6576433911068,49.400284794396065
3.5,1406.7476772742395,50.80465356878574
3.51,1406.8389038557034,52.23190534823011
3.52,1406.9313230131766,53.68195246294678
3.53,1407.0249346060486,55.1547069908134
3.54,1407.1197384754714,56.65008076198504
3.55,1407.2157344443845,58.167985363487254
3.56,1407.3129223175442,59.70833214378713
3.57,1407.411301881565,61.27103221733621
3.58,1407.51087290495,62.855996469101434
3.59,1407.611635138129,64.46313555905726
3.6,1407.7135883134852,66.0923599266666
3.61,1407.8167321454102,67.74357979533099
3.62,1407.9210663303213,69.41670517682087
3.63,1408.0265905467058,71.11164587567292
3.64,1408.1333044551689,72.82831149357841
3.65,1408.2412076984592,74.56661143373606
3.66,1408.35029990151,76.32645490517902
3.67,1408.4605806714899,78.1077509270861
3.68,1408.572049597829,79.91040833306356
3.69,1408.6847062522656,81.73433577539784
3.7,1408.798550188897,83.57944172929464
3.71,1408.9135809442057,85.44563449708279
3.72,1409.0297980371088,87.33282221240071
3.73,1409.1472009690042,89.2409128443467
3.74,1409.265789223814,91.16981420162513
3.75,1409.385562268018,93.1194339366417
3.76,1409.5065195507186,95.08967954959749
3.77,1409.6286605036598,97.08045839253984
3.78,1409.7519845413017,99.09167767339801
3.79,1409.876491060841,101.12324445999482
3.8,1410.0021794422719,103.17506568402128
3.81,1410.1290490484353,105.24704814500683
3.82,1410.2570992250498,107.33909851423759
3.83,1410.3863293007817,109.45112333867766
3.84,1410.51673858728,111.58302904484327
3.85,1410.6483263792202,113.73472194266076
3.86,1410.7810919543822,115.9061082293041
3.87,1410.9150345736589,118.09709399299877
3.88,1411.050153481132,120.30758521680158
3.89,1411.1864479041312,122.53748778236148
3.9,1411.3239170532574,124.78670747365109
3.91,1411.462560122462,127.05514998067183
3.92,1411.60237628908,129.34272090313934
3.93,1411.7433647138857,131.64932575413758
3.94,1411.8855245411598,133.97486996375196
3.95,1412.0288548987287,136.31925888267517
3.96,1412.173354898014,138.68239778579783
3.97,1412.319023634107,141.06419187575614
3.98,1412.4658601857996,143.46454628647015
3.99,1412.613863615659,145.8833660866551
4.0,1412.7630329700723,148.32055628329647
