eps,n,s0,H0rd,M_B,chi2_total,delta_lcdm,delta_eps0
-1.14,0.6399999999999999,0.9440574226605349,8752.252083456175,-19.11323539894507,4851.607678877223,3079.1516788772233,3079.0440138069944
-1.13,0.6299999999999999,0.9432732980161466,8750.369665187216,-19.11582073779566,4766.5224620196395,2994.0664620196394,2993.9587969494105
-1.12,0.6200000000000001,0.9424703904690498,8748.938307010601,-19.11841952310961,4683.032794992899,2910.5767949928986,2910.4691299226697
-1.11,0.6100000000000001,0.941648277331839,8747.949712823727,-19.121030795482604,4601.125957025606,2828.669957025606,2828.562291955377
-1.1,0.6000000000000001,0.9408065249328499,8747.395697088345,-19.123653613723377,4520.78893556193,2748.33293556193,2748.225270491701
-1.09,0.5900000000000001,0.9399446884032998,8747.267876630973,-19.1262870200641,4442.008440367814,2669.5524403678137,2669.444775297585
-1.08,0.5800000000000001,0.9390622953400125,8747.558858269782,-19.12893015000029,4364.770917237781,2592.3149172377807,2592.207252167552
-1.07,0.5700000000000001,0.9381588613664568,8748.260899310902,-19.131582136292213,4289.062561314831,2516.606561314831,2516.4988962446023
-1.06,0.56,0.937233891100351,8749.366584093268,-19.134242113055905,4214.869330036149,2442.413330036149,2442.30566496592
-1.05,0.55,0.9362868701254202,8750.868451739982,-19.1369092158179,4142.176955715463,2369.720955715463,2369.613290645234
-1.04,0.54,0.9353172527447174,8752.759981876665,-19.139582698995653,4070.9709577740523,2298.514957774052,2298.4072927038233
-1.03,0.53,0.9343244939239171,8755.033815581846,-19.1422617011099,4001.23665463043,2228.78065463043,2228.672989560201
-1.02,0.52,0.9333080141926736,8757.683479407584,-19.14494549467838,3932.9591752594106,2160.5031752594105,2160.3955101891816
-1.01,0.51,0.9322672238205678,8760.702315911716,-19.147633295484717,3866.1234704303383,2093.6674704303387,2093.5598053601097
-1.0,0.5,0.9312015050126707,8764.084044326479,-19.1503243788383,3800.7143236339653,2028.2583236339653,2028.1506585637364
-0.99,0.49,0.9301102279031187,8767.8220251044,-19.153018020786547,3736.7163617073084,1964.2603617073084,1964.1526966370795
-0.98,0.48,0.9289927257557014,8771.910553262209,-19.155713513523693,3674.1140651651403,1901.6580651651404,1901.5504000949115
-0.97,0.47,0.9278483255969956,8776.34329330786,-19.158410155085388,3612.8917782468684,1840.4357782468685,1840.3281131766396
-0.96,0.45999999999999996,0.9266763188874945,8781.11451858694,-19.161107287442245,3553.0337186869783,1780.5777186869784,1780.4700536167495
-0.95,0.44999999999999996,0.9254759716411373,8786.21856244117,-19.16380424880083,3494.523987216964,1722.0679872169642,1721.9603221467353
-0.94,0.43999999999999995,0.924246537640913,8791.649421718526,-19.166500376058536,3437.346576806677,1664.8905768066772,1664.7829117364483
-0.93,0.43000000000000005,0.922987224235549,8797.401893108452,-19.16919507546709,3381.485381652182,1609.0293816521819,1608.921716581953
-0.92,0.42000000000000004,0.9216972296177075,8803.470184216965,-19.171887692462136,3326.9242059179896,1554.4682059179897,1554.3605408477608
-0.91,0.41000000000000003,0.9203757149064337,8809.849060512188,-19.17457762319407,3273.6467722398893,1501.1907722398894,1501.0831071696605
-0.9,0.4,0.9190218097175217,8816.533210194268,-19.177264300796583,3221.6367299958924,1449.1807299958925,1449.0730649256636
-0.89,0.39,0.9176346208751883,8823.517298482297,-19.179947097139745,3170.8776633514003,1398.4216633514004,1398.3139982811715
-0.88,0.38,0.9162132037252098,8830.796612769162,-19.18262550811302,3121.3530990852796,1348.8970990852797,1348.7894340150508
-0.87,0.37,0.9147566049474083,8838.365610878736,-19.18529892738752,3073.0465142027842,1300.5905142027843,1300.4828491325554
-0.86,0.36,0.9132638148534147,8846.219765314981,-19.187966843283863,3025.9413433416053,1253.4853433416054,1253.3776782713765
-0.85,0.35,0.9117338117554349,8854.353628693942,-19.1906286657509,2980.0209859765773,1207.5649859765774,1207.4573209063485
-0.84,0.33999999999999997,0.9101655090925538,8862.762683792593,-19.193283919392627,2935.2688134290047,1162.8128134290048,1162.705148358776
-0.83,0.32999999999999996,0.9085578018022594,8871.441941861689,-19.195932064287106,2891.668175685802,1119.212175685802,1119.1045106155732
-0.82,0.31999999999999995,0.9069095232359654,8880.386906303263,-19.198572619227917,2849.2024080339606,1076.7464080339607,1076.6387429637318
