z,delta,f,fsigma8
0.0,0.7878126024376455,0.5271025847478868,0.4269530936457884
0.017465951510222233,0.7805835434270046,0.5376862880618027,0.4315294576627415
0.03523696248260211,0.7732789704581446,0.5482876349768008,0.4359199513032831
0.05331836107091292,0.7659020814520627,0.558897333460273,0.4401162282114929
0.07171556849020533,0.7584562191800401,0.5695052996639105,0.44410982559830453
0.09043410064220558,0.7509448647525805,0.5801013127227144,0.44789271127008173
0.1094795697691151,0.743371630639936,0.5906750528062585,0.4514573280722741
0.12885768613628468,0.7357402525596842,0.6012161418444218,0.4547966367720722
0.14857425974428273,0.7280545803959982,0.6117141864071738,0.4579041567530464
0.16863520207086702,0.7203185683152539,0.6221588221413235,0.46077400389474094
0.1890465278433755,0.7125362642426243,0.632539759078735,0.46340092501020536
0.20981435684208605,0.7047117988642974,0.6428468270295762,0.46578032821443793
0.2309449157350607,0.6968493743199728,0.653070020159857,0.4679083085967189
0.252444539945045,0.688953252717349,0.663199539891794,0.46978166866614024
0.27431967554896786,0.6810277439262846,0.6732258384059274,0.47139793485874665
0.2965768812106284,0.6730771933912537,0.683139659028487,0.4727553679720827
0.3192228301471285,0.6651059695773328,0.6929320766611315,0.47385296961619183
0.34226431212965647,0.6571184514448796,0.7025945352058698,0.47469048292328264
0.36570823551921605,0.6491190160499033,0.7121188815742959,0.475268387549395
0.38956162933790583,0.6411120262536543,0.721497396713028,0.47558788952456515
0.4138316453763873,0.6331018186236193,0.7307228235127746,0.4756509062001139
0.43852556033814905,0.6250926916081193,0.7397883914248529,0.47546004654167856
0.4636507780212318,0.617088894066695,0.7486878375642652,0.4750185870166135
0.4892148315380498,0.6090946142384732,0.7574154240327288,0.4743304433243808
0.5152253855739972,0.6011139692307004,0.7659659511485842,0.47340013821855426
0.5416902386854905,0.5931509951352567,0.7743347661760945,0.4722327656605862
0.5686173256381541,0.5852096378145641,0.7825177684363274,0.4708339523013999
0.5960147197858463,0.5772937438280407,0.7905114126183485,0.46920981732066325
0.6238906354912268,0.5694070530999267,0.7983127044186986,0.4673669287413087
0.6522534305886207,0.5615531915773964,0.8059191952233544,0.46531225930249714
0.6811116088898799,0.5537356646403557,0.8133289736477534,0.4630531414507197
0.7104738227340239,0.5459578513953698,0.8205406536582023,0.4605972217286099
0.740348875581401,0.5382229998057015,0.8275533595855427,0.4579524150247944
0.7707457246531755,0.5305342226094357,0.8343667084113392,0.45512685914811085
0.8016734836169013,0.5228944939776714,0.840980789785823,0.4521288701895228
0.833141425319009,0.5153066468647558,0.8473961443259042,0.4489668991350587
0.8651589845650105,0.5077733710349512,0.8536137406084795,0.4456494901000409
0.8977357609482783,0.500297211868296,0.8596349503630879,0.44218524014972116
0.9308815217282158,0.49288056969717575,0.86546152354382,0.4385827614826855
0.964606204758705,0.4855257000344903,0.8710955605130185,0.4348506449505308
0.9989199214677043,0.47823471415958724,0.8765394854269397,0.4309974266243062
1.0338329598888767,0.4710095802603169,0.8817960195049707,0.42703155687923067
1.0693557877461877,0.4638521251094234,0.886868154120092,0.422961371947029
1.10549905559236,0.4567640362195048,0.8917591239244543,0.4187950679772852
1.1422736000021572,0.44974686442076345,0.8964723802738996,0.4145406776492031
1.1796904468214242,0.4428020268057782,0.9010115652687317,0.41020604937516914
1.2177608144729017,0.4359308099855185,0.905380486785178,0.4057988291375085
1.2564961173197564,0.4291343735829388,0.9095830946356535,0.40132644485194974
1.2959079690878683,0.4224137540923828,0.9136234574876093,0.39679609310787456
1.3360081863478919,0.4157698689042478,0.9175057413591479,0.39221472835670246
1.3768087920581267,0.40920352030843266,0.9212341880832887,0.387589053560259
1.4183220191692838,0.40271539985357785,0.9248130959082677,0.3829255134919995
1.4605603142921972,0.3963060927740224,0.9282468013575786,0.3782302899046977
1.5035363414296046,0.3899760824572034,0.9315396623033487,0.37350929840161895
1.5472629857730933,0.38372575493517447,0.9346960422630496,0.368768186885363
1.59175335756639,0.37755540338390997,0.9377202959240947,0.36401233545855555
1.6370207960361003,0.37146523261407327,0.9406167558935747,0.35924685765057823
1.6830788733911173,0.3654553635369175,0.9433897206611926,0.35447660284451626
1.7299413988918682,0.3595258375889932,0.9460434437522268,0.34970615977850855
1.777622422990662,0.3536766210993313,0.9485821240339792,0.34493986099568125
1.8261362415443232,0.3479076095605425,0.9510098972046213,0.3401817881241146
1.8754974001004179,0.34221863176477785,0.9533308283740436,0.33543577782794787
1.9257206982583446,0.3366094540127948,0.9555489047306066,0.33070542820464055
1.9768211941065785,0.3310797839068823,0.9576680306100317,0.3259941059012638
2.028814208737446,0.3256292742135497,0.9596920227569639,0.3213049535590928
2.081715330840727,0.3202575266038696,0.9616246062153909,0.31664089750987773
2.1355404213775024,0.3149640952447392,0.9634694109452834,0.3120046556809034
2.1903056183356235,0.30974849024376305,0.9652299691491996,0.3073987456573933
2.2460273415682632,0.3046101809504558,0.9669097132801239,0.30282549285081045
2.3027222977169504,0.29954859911647025,0.9685119746879536,0.29828703872161627
2.3604074852206045,0.2945631419175497,0.9700399828467172,0.29378534900503656
2.4191001994120587,0.2896531748399058,0.9714968650877245,0.28932222188839296
2.478818037703581,0.28481803443372633,0.9728856467453295,0.284899296088557
2.5395789048629984,0.28005703093650847,0.9742092516017328,0.2805180587780754
2.6014010183819414,0.2753694507689261,0.9754705024951704,0.2761798533085305
2.6643029139378687,0.2707545589040812,0.976672122226031,0.2718858867597298
2.728303450951474,0.266211601062103,0.9778167353252459,0.2676372374079314
2.7934218182411867,0.2617398058217814,0.9789068689317195,0.26343486170339775
2.8596775397764063,0.25733838664624575,0.9799449552496261,0.259279601436537
2.9270904805312385,0.25300654374899323,0.9809333334306134,0.2551721904078989
2.9956808524404526,0.2487434658516926,0.981874251537037,0.25111326084114527
3.0654692204595015,0.24454833183882632,0.9827698686451796,0.24710334955819308
3.1364765087303486,0.240420312312624,0.9836222570758031,0.24314290391495655
3.2087240068550065,0.23635857105173613,0.9844334047351315,0.23923228749610922
3.282233376278648,0.2323622663770979,0.9852052175448412,0.2353717855672891
3.3570266567841864,0.22843055242843552,0.9859395219347807,0.231561610283172
3.4331262731003243,0.22456258035486165,0.9866380673669569,0.22780190564983147
3.510555041624987,0.2207574994230148,0.9873025288537869,0.22409275223981423
3.589336177266202,0.21701445804618918,0.9879345094277059,0.2204341716583494
3.6694933004024426,0.21333260473790822,0.9885355425129028,0.2168261307591178
3.751050443964579,0.209711089019783,0.989107094502736,0.21326854571235632
