s0,H0rd,M_B,eps
0.0468410221970218,10108.038989804145,-19.35682076340501,-0.020465369674052547
0.6050771838566437,9817.272962202,-19.333244197159356,-0.20067137258003614
0.4591735844116339,9864.584677558692,-19.34200861669598,-0.0913128021040348
0.40851106054050207,9944.409750798577,-19.33964709334916,-0.06719709109342878
0.3560389870192428,9965.726733656684,-19.339184768220605,-0.048148394588108615
0.17063848502343543,10012.328949409073,-19.354345144183906,-0.006993250825066119
0.3774820299797602,10000.839855044742,-19.349782426203333,-0.06378313173065875
0.4661722336567718,9868.076501810063,-19.34987306655572,-0.10578356384784138
0.45068077776368193,9866.095610180442,-19.3408060941928,-0.0785650911171607
0.3786344092086593,9982.95029040951,-19.349506815230065,-0.07094596401972128
0.48469245991340437,9877.793451738306,-19.345578978270684,-0.10944671105207254
0.47697630680309006,9875.213663499308,-19.35287520834689,-0.11785882366029657
0.01771296119476197,10017.702965815703,-19.35564399063174,0.002381296351258274
0.3184945406071641,10013.031164712262,-19.349802237557707,-0.04690675520085519
0.41336279365369616,9816.990774020935,-19.351286692144328,-0.058355043717457866
0.2473938915547874,10013.90728608391,-19.355015279475907,-0.026924313295361393
0.5166224415386477,9855.211867773456,-19.350140670680616,-0.14031495148713327
0.48038416808103246,9829.606247580987,-19.34137839887326,-0.09646495114366264
0.4822721044255986,9939.598927529218,-19.33777168693502,-0.12885212446896713
0.5825699008307128,9756.213727295202,-19.335090502668635,-0.17118926340527604
0.049842732533998624,10023.410259709457,-19.350901513008235,-0.005263980334879542
0.32689490141156147,9951.550811502992,-19.34235880365506,-0.04618214863623466
0.43307559146908886,9869.445276821676,-19.337665568664974,-0.07196941923040026
0.4809493392851351,9849.277296658383,-19.334919079307156,-0.09620726072902831
0.8786128289793287,8785.309099484897,-19.232456402421857,-0.6370566475749114
0.4757114769740195,9920.889263974039,-19.34073952093938,-0.11657281749036186
0.4473984418325522,9932.806622288637,-19.340702874587848,-0.08906909685525051
0.4112050052685845,9915.893475058592,-19.347065865602506,-0.07077811724696303
0.37108563497848807,9971.460902098279,-19.350620797123135,-0.06474676797193654
0.518987060057954,9863.650182433406,-19.345187490382003,-0.13029925293846634
0.39974080636526244,9901.587343914518,-19.3492493550481,-0.07393763817753884
0.45779059141941997,9940.416514640892,-19.340053870132383,-0.11702518244019873
0.0468410221970218,10108.038989804145,-19.35682076340501,-0.020465369674052547
0.6050771838566437,9817.272962202,-19.333244197159356,-0.20067137258003614
0.4621220724393099,9864.060119902959,-19.3424261021458,-0.09573848548329032
0.40851106054050207,9944.409750798577,-19.33964709334916,-0.06719709109342878
0.3560389870192428,9965.726733656684,-19.339184768220605,-0.048148394588108615
0.28366601628477445,9954.83528429175,-19.34972334057393,-0.04140566791363466
0.3774820299797602,10000.839855044742,-19.349782426203333,-0.06378313173065875
0.486248404423948,9866.393952614486,-19.348091967689815,-0.11510255993654894
0.4429549837128656,9870.38834230983,-19.342308704898247,-0.07406207669626544
0.35332945573994623,10011.067277676344,-19.35238849531616,-0.0646533389449015
0.5406476809777421,9905.941041077032,-19.342888900248518,-0.14769564868948842
0.4396485511622905,9894.874834473083,-19.355662565795274,-0.09715643506223223
0.01771296119476197,10017.702965815703,-19.35564399063174,0.002381296351258274
0.3184945406071641,10013.031164712262,-19.349802237557707,-0.04690675520085519
0.4124317046694485,9841.443562930352,-19.34905295381487,-0.060051908058073304
0.2473938915547874,10013.90728608391,-19.355015279475907,-0.026924313295361393
0.5159085034139625,9854.707405868476,-19.34996804325372,-0.13945105307184932
0.48038416808103246,9829.606247580987,-19.34137839887326,-0.09646495114366264
0.4823024902000838,9941.369227029807,-19.337713637978073,-0.1293733864001273
0.6264649622342451,9691.357810132156,-19.325293970000214,-0.1920881756005059
0.049842732533998624,10023.410259709457,-19.350901513008235,-0.005263980334879542
0.32689490141156147,9951.550811502992,-19.34235880365506,-0.04618214863623466
0.43307559146908886,9869.445276821676,-19.337665568664974,-0.07196941923040026
0.4809493392851351,9849.277296658383,-19.334919079307156,-0.09620726072902831
0.8786128289793287,8785.309099484897,-19.232456402421857,-0.6370566475749114
0.4757114769740195,9920.889263974039,-19.34073952093938,-0.11657281749036186
0.4325293291940995,9923.066253046974,-19.343369364005124,-0.08434810385471836
0.39105182011528994,9941.030559709865,-19.348722731129463,-0.063295061678257
0.35653542826719636,9993.636784421973,-19.352003998389193,-0.06580468797580283
0.5112212919226188,9868.3472312561,-19.345402082233,-0.12623204664209609
0.39974080636526244,9901.587343914518,-19.3492493550481,-0.07393763817753884
0.481778283337041,9931.827810688237,-19.337130436460598,-0.13148846748966064
0.0468410221970218,10108.038989804145,-19.35682076340501,-0.020465369674052547
0.615476496054858,9809.382117385383,-19.332452306543644,-0.20632376957340853
0.44867423640170623,9874.619113133036,-19.347788176901066,-0.09540365129334683
0.3922816981867193,9951.002992038671,-19.339504098389497,-0.06130542001573022
0.3560389870192428,9965.726733656684,-19.339184768220605,-0.048148394588108615
0.28366601628477445,9954.83528429175,-19.34972334057393,-0.04140566791363466
0.3774820299797602,10000.839855044742,-19.349782426203333,-0.06378313173065875
0.486248404423948,9866.393952614486,-19.348091967689815,-0.11510255993654894
0.4429549837128656,9870.38834230983,-19.342308704898247,-0.07406207669626544
0.3546423701250699,10007.299207608254,-19.352314398636278,-0.06455112143350569
0.5406476809777421,9905.941041077032,-19.342888900248518,-0.14769564868948842
0.4396485511622905,9894.874834473083,-19.355662565795274,-0.09715643506223223
0.002447283146725321,10017.955244595087,-19.35568577774082,0.004329085404382885
0.2962642443051099,10024.364833482057,-19.348515574740908,-0.03586319993900538
0.4165667864725449,9822.182449655169,-19.34911682215868,-0.059424649969494925
0.2473938915547874,10013.90728608391,-19.355015279475907,-0.026924313295361393
0.5159085034139625,9854.707405868476,-19.34996804325372,-0.13945105307184932
0.48672953150429077,9837.643814315637,-19.341537445030987,-0.10185921674036735
0.49510455927342034,9940.53049483714,-19.33733098142753,-0.1362264621118867
0.6264649622342451,9691.357810132156,-19.325293970000214,-0.1920881756005059
0.049842732533998624,10023.410259709457,-19.350901513008235,-0.005263980334879542
0.34919537055274225,9950.089788189249,-19.34169223791884,-0.05811981297445992
0.4355348844884947,9865.122832787481,-19.337206250984615,-0.07220202178930521
0.4848496294249737,9846.764945379622,-19.334230823637906,-0.09727682800395007
0.8786128289793287,8785.309099484897,-19.232456402421857,-0.6370566475749114
0.4757114769740195,9920.889263974039,-19.34073952093938,-0.11657281749036186
0.4325293291940995,9923.066253046974,-19.343369364005124,-0.08434810385471836
0.39105182011528994,9941.030559709865,-19.348722731129463,-0.063295061678257
0.35653542826719636,9993.636784421973,-19.352003998389193,-0.06580468797580283
0.5112212919226188,9868.3472312561,-19.345402082233,-0.12623204664209609
0.39974080636526244,9901.587343914518,-19.3492493550481,-0.07393763817753884
0.5055673228828066,9919.997179127311,-19.335284263826534,-0.14381129684699379
