eps,chi2_total,delta_lcdm,s0,H0rd,M_B,OL,delta_eps0
-0.4,1871.4064550764203,98.95045507642044,0.8648726743839392,9445.605321484816,-19.298260963206825,0.7999999999999039,98.95221661476921
-0.38,1853.880866479951,81.4248664799511,0.8585520438876735,9480.026511781543,-19.302379758682214,0.7999999999999794,81.42662801829988
-0.36,1838.261224440649,65.805224440649,0.8518475917117986,9514.761495479928,-19.306413110517898,0.8,65.80698597899777
-0.34,1824.4512522183215,51.99525221832164,0.8447302488553842,9549.775266481856,-19.31035981218343,0.7999999999999696,51.99701375667041
-0.32,1812.3569296752034,39.90092967520354,0.8371685052264554,9585.023657500344,-19.3142183165713,0.7999999999999365,39.902691213552316
-0.3,1801.8865191392067,29.430519139206808,0.8291271572329941,9620.471523323842,-19.317987596925544,0.7999999999998173,29.432280677555582
-0.28,1792.9505851372282,20.49458513722834,0.8205675819441544,9656.07950262248,-19.32166664135192,0.7999999999999237,20.496346675577115
-0.26,1785.4620080780307,13.006008078030845,0.811446973273444,9691.807869321829,-19.32525443282155,0.7999999999999224,13.007769616379619
-0.24,1779.3359919881002,6.879991988100301,0.8017177374610139,9727.616440480906,-19.328750160325388,0.7999999999999488,6.881753526449074
-0.22,1774.4900669115557,2.034066911555783,0.7913303467510874,9763.423400327913,-19.332151446349013,0.8,2.0358284499045567
-0.2,1770.8440827703544,-1.6119172296455417,0.7802132403908646,9799.32411975657,-19.335463150514297,0.7999999999998788,-1.610155691296768
-0.18,1768.320204964553,-4.13579503544679,0.768311117018944,9835.140780357551,-19.33867926424828,0.799999999999788,-4.134033497098017
-0.16,1766.8257295509625,-5.630270449037425,0.7295364403509185,9863.73679606991,-19.341070328588312,0.7824903264845848,-5.628508910688652
-0.14,1765.7216251475077,-6.7343748524922376,0.5673108729988021,9863.173805373464,-19.340458319631235,0.702464392596107,-6.732613314143464
-0.12,1764.7102605117623,-7.745739488237632,0.34461916582867014,9862.582782025656,-19.33986684624639,0.6352860353412788,-7.743977949888858
-0.1,1763.8559343532306,-8.60006564676928,0.0010000005905625767,9875.622348392559,-19.340708055425022,0.6076391672835338,-8.598304108420507
-0.08,1763.7865320357685,-8.669467964231444,0.0010000001247956326,9909.13844872943,-19.343629030118898,0.6251340778061638,-8.66770642588267
-0.06,1764.6344760502027,-7.821523949797211,0.0010000000486816807,9942.92742015146,-19.34651551959681,0.6418672812685392,-7.819762411448437
-0.04,1766.3769656636543,-6.079034336345558,0.0010000000397328338,9976.977044167434,-19.349366819846022,0.6578722977302832,-6.077272797996784
-0.02,1768.9911655131968,-3.4648344868030563,0.0010000000307233865,10011.274837083201,-19.35218224759846,0.6731810214804059,-3.4630729484542826
0.0,1772.4542384616511,-0.0017615383487736835,0.0010000000959822486,10045.808337711042,-19.35496116041194,0.6878237449942995,0.0
0.02,1776.7433773301725,4.287377330172603,0.0010000000053505527,10080.564278809958,-19.357702928588903,0.7018293417961574,4.289138868521377
0.04,1781.8358354500542,9.379835450054316,0.0010000000350068072,10115.530160692984,-19.360407023711886,0.71522532350344,9.38159698840309
0.06,1787.7089559806666,15.252955980666684,0.0010000000419412433,10150.692790572051,-19.363072887844993,0.7280379157878845,15.254717519015458
0.08,1794.3401999479454,21.88419994794549,0.0010000000218636823,10186.03994385235,-19.365700074047105,0.7402922188738573,21.885961486294264
0.1,1801.7071729620375,29.251172962037572,0.0010000000490386106,10221.557000211149,-19.36828813179685,0.7520120066910734,29.252934500386345
0.12,1809.7876505813535,37.33165058135364,0.001000000013212445,10257.232002200315,-19.37083664829477,0.7632201537139102,37.333412119702416
0.14,1818.559602292572,46.10360229257208,0.0010000000142619094,10293.051612624839,-19.373345283468655,0.7739384936190765,46.10536383092085
0.16,1828.0012140872443,55.5452140872444,0.0010000000201597341,10329.002070182876,-19.3758137244749,0.7841877921953578,55.54697562559318
0.18,1838.0909096180328,65.6349096180329,0.0010000000078596405,10365.070920669874,-19.37824169084986,0.7939880422307805,65.63667115638168
0.2,1849.1623251756107,76.7063251756108,0.0010000000086767705,10364.867325540583,-19.379243091632578,0.7999999999999522,76.70808671395957
