bandwidth,post_density,B_01
0.008,7.153402271561434,7.074714846574258
0.01,7.155027983748261,7.07632267592703
0.012,7.147925976526511,7.069298790784719
0.015,7.126870899397844,7.048475319504467
0.02,7.07359642433,6.99578686366237
