model,eps,n,published_delta_lcdm,reproduced_delta_lcdm,diff,tolerance,pass,s0,H0rd,M_B,delta_eps0
C,-1.5,1.0,7276.63,7276.6297585700395,-0.00024142996062437305,7.27663,True,0.9622817382305346,9219.135451090331,-19.039971831727748,7276.522093499811
A,-0.5,0.0,218.69,218.6906773557414,0.0006773557414021525,0.5,True,0.8227779125286866,9279.521660508351,-19.276443976302094,218.5830122855125
D,0.0,-0.5,0.11,0.10766507022890437,-0.0023349297710956313,0.5,True,0.0010000000054335026,10025.419894704733,-19.354045178183238,0.0
B,0.5,-1.0,1821.93,1821.9271677160257,-0.0028322839743850636,1.82193,True,0.0010000000002323979,8555.340442310935,-19.3046137217768,1821.8195026457968
