z,delta,f,fsigma8
0.0,0.772149644645358,0.5269747265964824,0.4268495285431507
0.017465951510222233,0.7650661562301666,0.5375352944137807,0.43140931573763736
0.03523696248260211,0.7579089344750002,0.5481120404832152,0.4357826264891228
0.05331836107091292,0.7506811223000929,0.5586956552804129,0.43996115311999984
0.07171556849020533,0.743386004892481,0.5692760389719707,0.44393647399044533
0.09043410064220558,0.736027002883288,0.5798429583244296,0.44770060175727455
0.1094795697691151,0.7286076642642741,0.5903860887498165,0.4512460298572195
0.12885768613628468,0.7211316583268659,0.6008950489376825,0.4545657714950887
0.14857425974428273,0.7136027644063861,0.6113594511817424,0.45765340426181994
0.16863520207086702,0.7060248622181475,0.621768946347483,0.46050310785454335
0.1890465278433755,0.6984019222821317,0.6321132667584821,0.46310969663608315
0.20981435684208605,0.6907379954917657,0.6423822699715372,0.465468648605987
0.2309449157350607,0.6830372019922134,0.6525659829835004,0.46757613040542734
0.252444539945045,0.6753037195335935,0.662654646325534,0.4694290179783202
0.27431967554896786,0.6675417714645404,0.6726387574025497,0.47102491251100886
0.2965768812106284,0.6597556145315183,0.6825091123263589,0.4723621512728563
0.3192228301471285,0.651949526649309,0.6922568453699687,0.4734398129800923
0.34226431212965647,0.6441277948080825,0.7018734650370341,0.4742577173052614
0.36570823551921605,0.6362947031576028,0.7113508866586082,0.47481641877195013
0.38956162933790583,0.6284545204409233,0.7206814655054381,0.4751171973307725
0.4138316453763873,0.6206114883967752,0.7298580232734094,0.47516204222766156
0.43852556033814905,0.6127698103744745,0.738873871996842,0.47495363174078387
0.4636507780212318,0.6049336400002763,0.7477228347242287,0.4744953085179864
0.4892148315380498,0.5971070703892872,0.7563992620657491,0.4737910506655116
0.5152253855739972,0.5892941239282454,0.7648980447014286,0.47284543906843796
0.5416902386854905,0.5814987426515209,0.7732146219348761,0.47166362141595236
0.5686173256381541,0.5737247792326817,0.7813449863861571,0.4702512734045602
0.5960147197858463,0.565975988613975,0.7892856849313088,0.4686145575923353
0.6238906354912268,0.5582560202960724,0.7970338160157648,0.46676008037731925
0.6522534305886207,0.5505684114000338,0.804587023168091,0.46469484746001294
0.6811116088898799,0.5429165803737581,0.8119434858549369,0.46242621870227746
0.7104738227340239,0.5353038214043364,0.8191019075311062,0.45996186264142847
0.740348875581401,0.5277333001149007,0.8260614983240657,0.45730971003036647
0.7707457246531755,0.5202080494132566,0.8328219577851979,0.45447790882197514
0.8016734836169013,0.5127309661737374,0.8393834552915674,0.45147477996683827
0.833141425319009,0.5053048087280002,0.8457466082217209,0.4483087742918702
0.8651589845650105,0.4979321951029948,0.8519124582419966,0.4449884307800368
0.8977357609482783,0.4906156019443188,0.8578824461175757,0.44152233657133655
0.9308815217282158,0.4833573640631931,0.8636583855486739,0.43791908900522425
0.964606204758705,0.476159674545274,0.8692424366273004,0.4341872600246447
0.9989199214677043,0.4690245853925015,0.8746370792348027,0.430335363105418
