eps,chi2_bao,s0,H0rd,delta_eps0
-0.4,81.00973186161866,0.8051357178008693,9137.868979988612,67.47661324235234
-0.39,76.52912277681332,0.7987590715671853,9172.382379651743,62.996004157547006
-0.38,72.22879347696167,0.7921684686120091,9206.319773921472,58.69567485769535
-0.37,68.10538222802244,0.7853540748155754,9239.689704722447,54.57226360875612
-0.36,64.15553967361818,0.7783053674803799,9272.50062161382,50.62242105435186
-0.35,60.37592841406962,0.7710110861921229,9304.76060712745,46.8428097948033
-0.34,56.76322261055479,0.7634591476672985,9336.47754865569,43.23010399128847
-0.33,53.31410761421483,0.7556365646599048,9367.659056814215,39.780988994948515
-0.32,50.025279620049986,0.7475293175324128,9398.31267718926,36.49216100078367
-0.31,46.89344534551149,0.7391222890741915,9428.445567037186,33.36032672624518
-0.3,43.91532173371802,0.7303991109736544,9458.064741496084,30.382203114451702
-0.29,41.08763568127645,0.7213419877637508,9487.177074836702,27.554517062010138
-0.28,38.40712379072392,0.711931561184211,9515.78922389716,24.874005171457608
-0.27,35.87053214764962,0.7021466789315043,9543.907623076768,22.337413528383305
-0.26,33.474616122594234,0.6919641770582245,9571.538460950815,19.94149750332792
-0.25,31.216140197871994,0.6813585469787573,9598.687875691492,17.68302157860568
-0.24,29.09187781949916,0.6703016443146248,9625.361738783175,15.558759200232846
-0.23,27.098611274463142,0.6587622371336588,9651.56576581411,13.565492655196827
-0.22,25.23313159359021,0.6467055258598462,9677.305484741244,11.700012974323894
-0.21,23.49223848034145,0.6340925092923846,9702.58633234162,9.959119861075134
-0.2,21.872740265884307,0.6208792463794806,9727.41346251167,8.339621646617992
-0.19,20.3714538908427,0.6070158829672466,9751.792023616463,6.838335271576387
-0.18,18.985204914174922,0.5924454738237487,9775.726890589745,5.452086294908607
-0.17,17.710827549660735,0.5771024142293645,9799.22279706183,4.17770893039442
-0.16,16.545164730535653,0.5609104500347506,9822.284326619647,3.0120461112693384
-0.15,15.485068202839136,0.54377995923923,9844.916034985356,1.9519495835728211
-0.14,14.527398648101519,0.5256044135144788,9867.122146545713,0.9942800288352043
-0.13,13.66902583602405,0.5062553111649619,9888.906905527198,0.13590721675773487
-0.12,12.906828807856815,0.485575110490551,9910.274319716977,-0.6262898114094995
-0.11,12.237696091212625,0.463366813871892,9931.228346968714,-1.29542252805369
-0.1,11.658525947106263,0.43937819842462034,9951.772670359023,-1.8745926721600519
-0.09,11.166226650040056,0.4132765532513829,9971.911047795867,-2.366891969226259
-0.08,10.757716801993881,0.384606511473792,9991.646916193458,-2.7754018172724333
-0.07,10.429925681227544,0.352713452819043,10010.983737752484,-3.10319293803877
-0.06,10.17979362682109,0.3165914631887,10029.924735674193,-3.3533249924452253
-0.05,10.00427245993285,0.2745363412008886,10048.47313344834,-3.5288461593334652
-0.04,9.90032594277189,0.22316799201467807,10066.631901404364,-3.632792676494425
-0.03,9.864930276324095,0.15332143711500762,10084.403998957394,-3.6681883429422193
-0.02,9.907682968427208,0.0010000000004266219,10095.024619590069,-3.6254356508391066
-0.01,10.94496782833571,0.0010000000000686142,10060.102106009906,-2.588150790930605
0.0,13.533118619266315,0.0010000000001104065,10025.41988824652,0.0
0.01,17.656499776741533,0.0010000000000424752,9990.976001586223,4.123381157475219
0.02,23.299319835280762,0.001000000000194898,9956.768468476472,9.766201216014448
0.03,30.445644792819266,0.0010000000000198062,9922.795307991175,16.91252617355295
0.04,39.079411089119404,0.0010000000002019205,9889.05453694022,25.54629246985309
0.05,49.184438199465845,0.0010000000000376839,9855.544185669249,35.65131958019953
0.06,60.74444084552772,0.00100000000011165,9822.262265619232,47.2113222262614
0.07,73.74304082584486,0.0010000000000886626,9789.206803166597,60.20992220657854
0.08,88.16377846887005,0.0010000000000316431,9756.37580224073,74.63065984960373
0.09,103.99012371201628,0.001000000000129901,9723.767310024312,90.45700509274997
0.1,121.20548681053097,0.001000000000064758,9691.379366592606,107.67236819126465
0.11,139.79322868052293,0.0010000000000918398,9659.209977510876,126.26011006125661
0.12,159.73667088070488,0.0010000000001420466,9627.257203748857,146.20355226143857
0.13,181.01910523791895,0.0010000000002768684,9595.51911828524,167.48598661865265
0.14,203.62380312163396,0.0010000000000087526,9563.993769135841,190.09068450236765
0.15,227.53402437301912,0.0010000000005047404,9532.679197422978,214.00090575375282
0.16,252.7330258944062,0.0010000000001228874,9501.573510741924,239.1999072751399
0.17,279.2040699051317,0.001000000000074592,9470.674744427077,265.6709512858654
0.18,306.93043187001894,0.0010000000000099014,9439.981079796455,293.39731325075263
0.19,335.89540810685946,0.0010000000001080928,9409.490538514492,322.36228948759316
0.2,366.0823230794866,0.0010000000000661758,9379.20129411289,352.5492044602203
