s0,chi2,dchi2
0.51,1895.1612877646394,122.59762269440989
0.515,1900.586232820958,128.0225677507285
0.52,1906.2247535703846,133.66108850015507
0.525,1912.0848869941483,139.5212219239188
0.53,1918.1750007304854,145.61133566025592
0.535,1924.503809557608,151.94014448737857
0.54,1931.080392783142,158.5167277129126
0.545,1937.9142131463423,165.35054807611277
0.55,1945.015136354568,172.4514712843386
0.555,1952.393451872434,179.82978680220458
0.56,1960.0598960523653,187.49623098213578
0.565,1968.0256752158964,195.4620101456669
0.57,1976.3024908150628,203.73882574483332
0.575,1984.9025673636702,212.3389022934407
0.58,1993.83868017376,221.27501510353045
0.585,2003.1241865753195,230.56052150509004
0.59,2012.7730585574975,240.20939348726802
0.595,2022.7999180417423,250.23625297151284
0.6,2033.2200734750886,260.6564084048591
0.605,2044.0495613031253,271.4858962328958
0.61,2055.3051873998097,282.7415223295802
0.615,2067.0045744223585,294.440909352129
0.62,2079.1662102124765,306.602545142247
0.625,2091.80950115211,319.2458360818805
0.63,2104.9548293630005,332.391164292771
0.635,2118.6236136597317,346.05994858950226
0.64,2132.8383756322546,360.2747105620251
0.645,2147.6228111821547,375.0591461119252
0.65,2163.0018667196764,390.4382016494469
0.655,2179.0018226354987,406.4381575652692
0.66,2195.6503817577304,423.08671668750094
0.665,2212.9767685853517,440.4131035151222
0.67,2231.0118325295607,458.4481674593312
0.675,2249.788161184469,477.2244961142396
0.68,2269.340207701399,496.7765426311694
0.685,2289.70442169051,517.1407566202806
0.69,2310.9193978425783,538.3557327723488
0.695,2333.02603524367,560.4623701734404
0.7,2356.067711975934,583.5040469057044
0.705,2380.0904738864688,607.5268088162393
0.71,2405.143248186514,632.5795831162845
0.715,2431.278067468327,658.7144023980977
0.72,2458.550322756021,685.9866576857917
0.725,2487.019040109508,714.4553750392784
0.73,2516.747183824046,744.1835187538163
0.735,2547.8019939966016,775.2383289263721
0.74,2580.255355760706,807.6916906904767
0.745,2614.184211300671,841.6205462304415
0.75,2649.671014072417,877.1073490021877
0.755,2686.8042381055393,914.2405730353098
0.76,2725.6789393539484,953.1152742837189
0.765,2766.3973864583922,993.8337213881628
0.77,2809.069765144408,1036.5061000741784
0.775,2853.8149674295555,1081.251302359326
0.78,2900.761478224339,1128.1978131541096
0.785,2950.0483749864698,1177.4847099162403
0.79,3001.8264577618456,1229.2627926916161
0.795,3056.2595241672398,1283.6958590970103
0.8,3113.5258242008986,1340.962159130669
