gamma,chi2
2.0,1674.5860346906334
2.01,1668.4049635908298
2.02,1662.3050627104458
2.03,1656.2861359081994
2.04,1650.3479838331787
2.05,1644.4904039583696
2.06,1638.713190614452
2.07,1633.0161350237709
2.08,1627.3990253345169
2.09,1621.8616466551393
2.1,1616.4037810889076
2.11,1611.0252077687153
2.12,1605.7257028920185
2.13,1600.5050397559573
2.14,1595.3629887926927
2.15,1590.299317604853
2.16,1585.313791001137
2.17,1580.4061710321175
2.18,1575.5762170261396
2.19,1570.823685625374
2.2,1566.1483308220031
2.21,1561.5499039945325
2.22,1557.0281539442005
2.23,1552.5828269315277
2.24,1548.2136667129587
2.25,1543.9204145775857
2.26,1539.7028093839976
2.27,1535.5605875972033
2.28,1531.4934833255957
2.29,1527.501228358042
2.3,1523.5835522010318
2.31,1519.7401821158394
2.32,1515.9708431558079
2.33,1512.2752582036119
2.34,1508.6531480086182
2.35,1505.10423122425
2.36,1501.6282244453807
2.37,1498.2248422457637
2.38,1494.8937972154692
2.39,1491.6347999983298
2.4,1488.4475593293746
2.41,1485.331782072311
2.42,1482.2871732569301
2.43,1479.3134361165426
2.44,1476.4102721253857
2.45,1473.5773810359822
2.46,1470.8144609164985
2.47,1468.1212081880267
2.48,1465.4973176618598
2.49,1462.9424825766773
2.5,1460.4563946357034
2.51,1458.0387440437885
2.52,1455.6892195444188
2.53,1453.4075084566546
2.54,1451.1932967120024
2.55,1449.046268891169
2.56,1446.9661082607574
2.57,1444.9524968098337
2.58,1443.0051152864305
2.59,1441.123643233885
2.6,1439.3077590271268
2.61,1437.557139908797
2.62,1435.8714620252563
2.63,1434.2504004624886
2.64,1432.6936292818207
2.65,1431.2008215555484
2.66,1429.7716494023769
2.67,1428.4057840227472
2.68,1427.1028957339727
2.69,1425.862654005235
2.7,1424.6847274924107
2.71,1423.5687840727267
2.72,1422.5144908792258
2.73,1421.521514335078
2.74,1420.5895201876865
2.75,1419.7181735426063
2.76,1418.9071388972784
2.77,1418.156080174553
2.78,1417.4646607560223
2.79,1416.8325435151328
2.8,1416.2593908500928
2.81,1415.744864716563
2.82,1415.2886266601279
2.83,1414.8903378485409
2.84,1414.5496591037393
2.85,1414.2662509336378
2.86,1414.0397735636677
2.87,1413.8698869680952
2.88,1413.7562509010845
2.89,1413.6985249275167
2.9,1413.6963684535624
2.91,1413.749440756996
2.92,1413.8574010172506
2.93,1414.0199083452194
2.94,1414.2366218127884
2.95,1414.5072004821034
2.96,1414.831303434567
2.97,1415.2085897995682
2.98,1415.638718782912
2.99,1416.1213496950243
3.0,1416.6561419788022
3.01,1417.2427552372446
3.02,1417.8808492607695
3.03,1418.5700840542306
3.04,1419.310119863669
3.05,1420.1006172027533
3.06,1420.9412368789356
3.07,1421.8316400192941
3.08,1422.7714880960987
3.09,1423.760442952049
3.1,1424.7981668252346
3.11,1425.8843223737706
3.12,1427.0185727001374
3.13,1428.2005813751998
3.14,1429.4300124619422
3.15,1430.706530538856
3.16,1432.0298007230476
3.17,1433.3994886930086
3.18,1434.815260711089
3.19,1436.2767836456403
3.2,1437.7837249928493
3.21,1439.3357528982542
3.22,1440.932536177943
3.23,1442.5737443394128
3.24,1444.2590476021564
3.25,1445.9881169178686
3.26,1447.7606239903728
3.27,1449.5762412952192
3.28,1451.4346420989505
3.29,1453.33550047805
3.3,1455.278491337573
3.31,1457.2632904294553
3.32,1459.2895743704864
3.33,1461.357020659986
3.34,1463.465307697126
3.35,1465.6141147979708
3.36,1467.8031222121544
3.37,1470.0320111392748
3.38,1472.3004637449396
3.39,1474.6081631764991
3.4,1476.9547935784847
3.41,1479.3400401076938
3.42,1481.7635889479704
3.43,1484.2251273246816
3.44,1486.7243435188655
3.45,1489.2609268810695
3.46,1491.8345678448582
3.47,1494.4449579400598
3.48,1497.0917898056189
3.49,1499.7747572022317
3.5,1502.4935550245898
3.51,1505.2478793133903
3.52,1508.0374272669785
3.53,1510.8618972527256
3.54,1513.7209888180905
3.55,1516.6144027013822
3.56,1519.5418408422265
3.57,1522.5030063917213
3.58,1525.497603722331
3.59,1528.5253384374353
3.6,1531.585917380645
3.61,1534.6790486447871
3.62,1537.8044415805955
3.63,1540.96180680517
3.64,1544.1508562101042
3.65,1547.371302969335
3.66,1550.6228615467403
3.67,1553.9052477034434
3.68,1557.2181785048265
3.69,1560.5613723273254
3.7,1563.9345488648783
3.71,1567.3374291351925
3.72,1570.76973548567
3.73,1574.2311915991281
3.74,1577.7215224992292
3.75,1581.2404545556615
3.76,1584.7877154890757
3.77,1588.36303437576
3.78,1591.9661416520596
3.79,1595.5967691185735
3.8,1599.2546499440903
3.81,1602.9395186692832
3.82,1606.6511112101803
3.83,1610.3891648613803
3.84,1614.153418299068
3.85,1617.9436115837634
3.86,1621.7594861628777
3.87,1625.6007848730105
3.88,1629.4672519420699
3.89,1633.3586329911575
3.9,1637.2746750362005
3.91,1641.215126489447
3.92,1645.1797371606897
3.93,1649.1682582583041
3.94,1653.1804423901265
3.95,1657.216043564058
3.96,1661.2748171885012
3.97,1665.3565200726484
3.98,1669.460910426519
3.99,1673.5877478608456
4.0,1677.736793386752
