Om,gamma,MB,H0rd
0.32576224030573725,2.978793030122954,-19.3486983325439,9967.396438016132
0.350227302366398,2.886734055247146,-19.3549564434567,10019.817585836054
0.35411858759584647,2.877631767325093,-19.349535505934057,10001.781746552815
0.3591184648163167,2.844701621082873,-19.355685956223876,10011.621081577612
0.33517592955995623,2.8729981402321947,-19.359397066869438,10070.89831205715
0.3504181103257287,2.9181534175188113,-19.35022878977973,9943.486072408894
0.37346343056676795,2.7914343191547237,-19.349547757927002,10007.835738923408
0.31490518470745427,2.9830650502901315,-19.353842339717392,10067.110436336456
0.3799471647619096,2.8380718733928276,-19.348399277813375,9807.939554715136
0.3804659807089154,2.848239776800725,-19.34146387677934,9848.37099407637
0.34705965540114714,2.9218905059730886,-19.34775324242453,9996.619643176013
0.3659046134149176,2.8079524631533928,-19.347006595872667,10043.897696862598
0.36399217322936844,2.8452172444612995,-19.343701152651384,9948.085209440074
0.34222819467159316,2.9064476734441036,-19.347391111149904,10012.00268769079
0.3388998843797604,2.904350188235196,-19.354310140103156,10018.830127833266
0.33948482914529554,2.9401221606508665,-19.358604942622723,9882.660423893865
0.34682804837099096,2.8846637616493753,-19.355613751297025,10039.235001231113
0.389650503144171,2.80805399045603,-19.34474392799106,9864.245589628
0.3546192908550316,2.906753068878139,-19.34207675289049,9934.65845851424
0.35076686022606807,2.864526934329678,-19.35200006626235,10066.357238557677
0.3460777990496995,2.88549414152341,-19.35981751208514,10050.830770481212
0.4037049027846225,2.7570483483132393,-19.34868710081422,9898.920318614646
0.35989799513295656,2.812614753385858,-19.35473264263799,10062.34942958517
0.37585224073214946,2.8365998220556383,-19.34082653077401,9914.781232095047
0.3649035756726673,2.831000764957576,-19.350234587276912,10021.114923126677
0.36503271209613714,2.847971203992266,-19.343140883290815,9935.10833878248
0.37553136274997256,2.8145879125845967,-19.35422029094223,9916.908838106103
0.37042274328297864,2.8454875819903105,-19.346868605113887,9901.148307150548
0.34447838511897777,2.9104959547510987,-19.352743140949446,9977.425545107337
0.3539680037076771,2.8802621106861075,-19.34908642007252,9993.313583261499
0.350431243498901,2.8844523526030663,-19.355133582477745,9949.709389586165
0.38051353324954,2.8548269012243117,-19.34562446531527,9832.830525122889
0.32576224030573725,2.978793030122954,-19.3486983325439,9967.396438016132
0.350227302366398,2.886734055247146,-19.3549564434567,10019.817585836054
0.35411858759584647,2.877631767325093,-19.349535505934057,10001.781746552815
0.3587593834228823,2.8594820560674323,-19.356125088818843,9988.25366981652
0.33517592955995623,2.8729981402321947,-19.359397066869438,10070.89831205715
0.35320232209621366,2.904175506130592,-19.348970622261064,9943.14840657192
0.3721836254529633,2.797018538720794,-19.349715119117782,10005.572719914393
0.3200185142511528,2.9696081282934546,-19.353219789040047,10057.45041592016
0.3720039607587047,2.8532969027166657,-19.34951598182773,9848.71381751488
0.3802635328427092,2.840245232344834,-19.340754849697976,9846.298973095636
0.3470476837965753,2.9350112020928396,-19.34630886456685,9980.588907779504
0.3659046134149176,2.8079524631533928,-19.347006595872667,10043.897696862598
0.35980588313940176,2.8578436915446037,-19.347124207820375,9969.901072402079
0.34222819467159316,2.9064476734441036,-19.347391111149904,10012.00268769079
0.3523201661546489,2.8930437263167335,-19.350798031237723,9966.18505160221
0.33986496199700206,2.9388062247248747,-19.358558293718172,9883.012880755636
0.34586886951307316,2.886252741645092,-19.355970806973033,10044.869566378318
0.3875404138045675,2.8083774461201734,-19.3454523415569,9878.295390090892
0.3524090451365481,2.911178871647601,-19.343736414492582,9952.774337771416
0.3471007699222473,2.8768296175828034,-19.352713722329284,10051.674586292096
0.3460777990496995,2.88549414152341,-19.35981751208514,10050.830770481212
0.4037049027846225,2.7570483483132393,-19.34868710081422,9898.920318614646
0.3595814616884134,2.8161756822949116,-19.354447999692827,10059.032186906725
0.39976439194661817,2.7869266690567787,-19.33615804922586,9845.641005980995
0.3649035756726673,2.831000764957576,-19.350234587276912,10021.114923126677
0.3647648496210644,2.846126766131887,-19.343745589912707,9941.746117214623
0.37605911178557005,2.8135100768026695,-19.354116642776248,9916.571875700889
0.3703336990382609,2.8457241953857184,-19.34686373984737,9901.154267988408
0.322460145958359,2.967542126471796,-19.3542510273703,10006.6108985673
0.3539680037076771,2.8802621106861075,-19.34908642007252,9993.313583261499
